year,vintage,type,dwellings
2021,2011-2015,single_attached,27810.0
2021,2016-2020,single_attached,17387.0
2021,2021-2025,single_attached,1448.0
1961,total,single_attached,138373.0
1961,<1945,single_attached,93313.0
1961,<1920,single_attached,55621.0
1961,1921-1945,single_attached,37692.0
1961,1946-1960,single_attached,44264.0
1961,1946-1959,single_attached,42351.0
1961,1960-1960,single_attached,1913.0
1961,1961-1965,single_attached,796.0
1961,1961-1970,single_attached,796.0
1961,1971-1980,single_attached,0.0
1961,1981-1990,single_attached,0.0
1961,1991-1995,single_attached,0.0
1961,1996-2000,single_attached,0.0
1961,2001-2005,single_attached,0.0
1961,2006-2010,single_attached,0.0
1961,2011-2015,single_attached,0.0
1961,2016-2020,single_attached,0.0
1961,2021-2025,single_attached,0.0
2016,total,single_attached,299550.0
2016,<1920,single_attached,15955.0
2016,1921-1945,single_attached,12120.0
2016,1946-1960,single_attached,26380.0
2016,1961-1970,single_attached,22710.0
2016,1971-1980,single_attached,49660.0
2016,1981-1990,single_attached,45610.0
2016,1991-1995,single_attached,32640.0
2016,1996-2000,single_attached,19245.0
2016,2001-2005,single_attached,18520.0
2016,2006-2010,single_attached,29115.0
2016,2011-2015,single_attached,25459.0
2016,2016-2020,single_attached,2121.0
2016,2021-2025,single_attached,0.0
2011,total,single_attached,276635.0
2011,<1920,single_attached,16205.0
2011,1921-1945,single_attached,12735.0
2011,1946-1960,single_attached,27095.0
2011,1961-1970,single_attached,24210.0
2011,1971-1980,single_attached,48665.0
2011,1981-1990,single_attached,48040.0
2011,1991-1995,single_attached,31360.0
2011,1996-2000,single_attached,20125.0
2011,2001-2005,single_attached,19165.0
2011,2006-2010,single_attached,26797.0
2011,2011-2015,single_attached,2233.0
2011,2016-2020,single_attached,0.0
2011,2021-2025,single_attached,0.0
1996,total,single_attached,219180.0
1996,<1945,single_attached,
1996,<1920,single_attached,
1996,1921-1945,single_attached,
1996,1946-1970,single_attached,
1996,1946-1960,single_attached,
1996,1961-1970,single_attached,
1996,1971-1985,single_attached,
1996,1971-1980,single_attached,
1996,1981-1985,single_attached,
1996,1986 +,single_attached,
1996,1986-1990,single_attached,
1996,1991-1995,single_attached,
1996,1996(1),single_attached,
1996,1981-1990,single_attached,0.0
1996,1996-2000,single_attached,0.0
1996,2001-2005,single_attached,0.0
1996,2006-2010,single_attached,0.0
1996,2011-2015,single_attached,0.0
1996,2016-2020,single_attached,0.0
1996,2021-2025,single_attached,0.0
1971,total,single_attached,315025.0
1971,<1945,single_attached,180135.0
1971,<1920,single_attached,99060.0
1971,1921-1945,single_attached,81075.0
1971,1946-1970,single_attached,132254.0
1971,1946-1960,single_attached,83565.0
1971,1961-1965,single_attached,25025.0
1971,1966-1969,single_attached,17335.0
